Sexo;Sección;Nacionalidad;Total
Ambos Sexos;3300401001;Chile;1
Ambos Sexos;3300401001;Colombia;4
Ambos Sexos;3300401001;Cuba;5
Ambos Sexos;3300401001;Ecuador;0
Ambos Sexos;3300401001;Paraguay;5
Ambos Sexos;3300401001;Perú;2
Ambos Sexos;3300401001;República Dominicana;2
Ambos Sexos;3300401001;Uruguay;0
Ambos Sexos;3300401001;Venezuela;17
Ambos Sexos;3300401001;Total Asia;19
Ambos Sexos;3300401001;China;0
Ambos Sexos;3300401001;Pakistán;1
Ambos Sexos;3300401001;Oceanía y Apátridas;0
Ambos Sexos;3300401002;Total Población;798
Ambos Sexos;3300401002;Españoles;737
Ambos Sexos;3300401002;Total Extranjeros;61
Ambos Sexos;3300401002;Total Unión Europea;8
Ambos Sexos;3300401002;Alemania;0
Ambos Sexos;3300401002;Bulgaria;0
Ambos Sexos;3300401002;Francia;0
Ambos Sexos;3300401002;Italia;2
Ambos Sexos;3300401002;Polonia;0
Ambos Sexos;3300401002;Portugal;0
Ambos Sexos;3300401002;Rumanía;5
Ambos Sexos;3300401002;Total Resto de Europa;1
Ambos Sexos;3300401002;Reino Unido;1
Ambos Sexos;3300401002;Rusia;0
Ambos Sexos;3300401002;Ucrania;0
Ambos Sexos;3300401002;Total África;7
Ambos Sexos;3300401002;Argelia;0
Ambos Sexos;3300401002;Marruecos;6
Ambos Sexos;3300401002;Nigeria;0
Ambos Sexos;3300401002;Senegal;0
Ambos Sexos;3300401002;Total América;36
Ambos Sexos;3300401002;Argentina;0
Ambos Sexos;3300401002;Bolivia;0
Ambos Sexos;3300401002;Brasil;3
Ambos Sexos;3300401002;Chile;0
Ambos Sexos;3300401002;Colombia;17
Ambos Sexos;3300401002;Cuba;0
Ambos Sexos;3300401002;Ecuador;2
Ambos Sexos;3300401002;Paraguay;2
Ambos Sexos;3300401002;Perú;4
Ambos Sexos;3300401002;República Dominicana;1
Ambos Sexos;3300401002;Uruguay;0
Ambos Sexos;3300401002;Venezuela;2
Ambos Sexos;3300401002;Total Asia;9
Ambos Sexos;3300401002;China;4
Ambos Sexos;3300401002;Pakistán;0
Ambos Sexos;3300401002;Oceanía y Apátridas;0
Ambos Sexos;3300401003;Total Población;1.598
Ambos Sexos;3300401003;Españoles;1.474
Ambos Sexos;3300401003;Total Extranjeros;124
Ambos Sexos;3300401003;Total Unión Europea;20
Ambos Sexos;3300401003;Alemania;1
Ambos Sexos;3300401003;Bulgaria;2
Ambos Sexos;3300401003;Francia;0
Ambos Sexos;3300401003;Italia;4
Ambos Sexos;3300401003;Polonia;2
Ambos Sexos;3300401003;Portugal;3
Ambos Sexos;3300401003;Rumanía;6
Ambos Sexos;3300401003;Total Resto de Europa;7
Ambos Sexos;3300401003;Reino Unido;2
Ambos Sexos;3300401003;Rusia;2
Ambos Sexos;3300401003;Ucrania;3
Ambos Sexos;3300401003;Total África;25
Ambos Sexos;3300401003;Argelia;0
Ambos Sexos;3300401003;Marruecos;9
Ambos Sexos;3300401003;Nigeria;0
Ambos Sexos;3300401003;Senegal;13
Ambos Sexos;3300401003;Total América;49
Ambos Sexos;3300401003;Argentina;0
Ambos Sexos;3300401003;Bolivia;1
Ambos Sexos;3300401003;Brasil;13
Ambos Sexos;3300401003;Chile;0
Ambos Sexos;3300401003;Colombia;3
Ambos Sexos;3300401003;Cuba;1
Ambos Sexos;3300401003;Ecuador;0
Ambos Sexos;3300401003;Paraguay;6
Ambos Sexos;3300401003;Perú;2
Ambos Sexos;3300401003;República Dominicana;10
Ambos Sexos;3300401003;Uruguay;0
Ambos Sexos;3300401003;Venezuela;7
Ambos Sexos;3300401003;Total Asia;23
Ambos Sexos;3300401003;China;11
Ambos Sexos;3300401003;Pakistán;2
Ambos Sexos;3300401003;Oceanía y Apátridas;0
Ambos Sexos;3300401005;Total Población;1.611
Ambos Sexos;3300401005;Españoles;1.576
Ambos Sexos;3300401005;Total Extranjeros;35
Ambos Sexos;3300401005;Total Unión Europea;7
Ambos Sexos;3300401005;Alemania;1
Ambos Sexos;3300401005;Bulgaria;0
Ambos Sexos;3300401005;Francia;1
Ambos Sexos;3300401005;Italia;0
Ambos Sexos;3300401005;Polonia;0
Ambos Sexos;3300401005;Portugal;1
Ambos Sexos;3300401005;Rumanía;4
Ambos Sexos;3300401005;Total Resto de Europa;3
Ambos Sexos;3300401005;Reino Unido;1
Ambos Sexos;3300401005;Rusia;0
Ambos Sexos;3300401005;Ucrania;2
Ambos Sexos;3300401005;Total África;8
Ambos Sexos;3300401005;Argelia;4
Ambos Sexos;3300401005;Marruecos;0
Ambos Sexos;3300401005;Nigeria;0
Ambos Sexos;3300401005;Senegal;4
Ambos Sexos;3300401005;Total América;16
Ambos Sexos;3300401005;Argentina;0
Ambos Sexos;3300401005;Bolivia;0
Ambos Sexos;3300401005;Brasil;0
Ambos Sexos;3300401005;Chile;0
Ambos Sexos;3300401005;Colombia;2
Ambos Sexos;3300401005;Cuba;7
Ambos Sexos;3300401005;Ecuador;0
Ambos Sexos;3300401005;Paraguay;4
Ambos Sexos;3300401005;Perú;1
Ambos Sexos;3300401005;República Dominicana;1
Ambos Sexos;3300401005;Uruguay;0
Ambos Sexos;3300401005;Venezuela;0
Ambos Sexos;3300401005;Total Asia;1
Ambos Sexos;3300401005;China;1
Ambos Sexos;3300401005;Pakistán;0
Ambos Sexos;3300401005;Oceanía y Apátridas;0
Ambos Sexos;3300401006;Total Población;1.101
Ambos Sexos;3300401006;Españoles;998
Ambos Sexos;3300401006;Total Extranjeros;103
Ambos Sexos;3300401006;Total Unión Europea;14
Ambos Sexos;3300401006;Alemania;1
